schema,schema_version,record_id,entity_class,status,work_id,resource_id,edition_id,locale,created_at,responsible_workflow,supersedes,subject_id,predicate,object_id,relation_order,evidence_locator,confidence
r014.backend.record,1.0.0,ttp.r014.relation.0001,relation,active,ttp.r014.yaintt,ttp.r014.yaintt,,und,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,ttp.r014.unit.book,contains,ttp.r014.unit.frontmatter,1,,high
r014.backend.record,1.0.0,ttp.r014.relation.0002,relation,active,ttp.r014.yaintt,ttp.r014.yaintt,,und,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,ttp.r014.unit.frontmatter,contains,ttp.r014.unit.frontmatter.title-page,2,,high
r014.backend.record,1.0.0,ttp.r014.relation.0003,relation,active,ttp.r014.yaintt,ttp.r014.yaintt,,und,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,ttp.r014.unit.frontmatter.title-page,contains,ttp.r014.unit.frontmatter.title-page.figure.cover,3,,high
r014.backend.record,1.0.0,ttp.r014.relation.0004,relation,active,ttp.r014.yaintt,ttp.r014.yaintt,,und,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,ttp.r014.unit.frontmatter,contains,ttp.r014.unit.frontmatter.preface,4,,high
r014.backend.record,1.0.0,ttp.r014.relation.0005,relation,active,ttp.r014.yaintt,ttp.r014.yaintt,,und,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,ttp.r014.unit.frontmatter.preface,contains,ttp.r014.unit.frontmatter.preface.figure.license-badge,5,,high
r014.backend.record,1.0.0,ttp.r014.relation.0006,relation,active,ttp.r014.yaintt,ttp.r014.yaintt,,und,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,ttp.r014.unit.frontmatter,contains,ttp.r014.unit.frontmatter.release-notes,6,,high
r014.backend.record,1.0.0,ttp.r014.relation.0007,relation,active,ttp.r014.yaintt,ttp.r014.yaintt,,und,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,ttp.r014.unit.frontmatter.release-notes,contains,ttp.r014.unit.frontmatter.release-notes.figure.caution,7,,high
r014.backend.record,1.0.0,ttp.r014.relation.0008,relation,active,ttp.r014.yaintt,ttp.r014.yaintt,,und,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,ttp.r014.unit.frontmatter,contains,ttp.r014.unit.frontmatter.toc,8,,high
r014.backend.record,1.0.0,ttp.r014.relation.0009,relation,active,ttp.r014.yaintt,ttp.r014.yaintt,,und,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,ttp.r014.unit.book,contains,ttp.r014.unit.chap.woad,9,,high
r014.backend.record,1.0.0,ttp.r014.relation.0010,relation,active,ttp.r014.yaintt,ttp.r014.yaintt,,und,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,ttp.r014.unit.chap.woad,contains,ttp.r014.unit.sec.wopami,10,,high
r014.backend.record,1.0.0,ttp.r014.relation.0011,relation,active,ttp.r014.yaintt,ttp.r014.yaintt,,und,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,ttp.r014.unit.sec.wopami,contains,ttp.r014.unit.sec.wopami.discussion.01,11,,high
r014.backend.record,1.0.0,ttp.r014.relation.0012,relation,active,ttp.r014.yaintt,ttp.r014.yaintt,,und,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,ttp.r014.unit.sec.wopami,contains,ttp.r014.unit.sec.wopami.subsection.01,12,,high
r014.backend.record,1.0.0,ttp.r014.relation.0013,relation,active,ttp.r014.yaintt,ttp.r014.yaintt,,und,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,ttp.r014.unit.sec.wopami.subsection.01,contains,ttp.r014.unit.sec.wopami.definition.01,13,,high
r014.backend.record,1.0.0,ttp.r014.relation.0014,relation,active,ttp.r014.yaintt,ttp.r014.yaintt,,und,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,ttp.r014.unit.sec.wopami.subsection.01,contains,ttp.r014.unit.sec.wopami.principle.well-ordering,14,,high
r014.backend.record,1.0.0,ttp.r014.relation.0015,relation,active,ttp.r014.yaintt,ttp.r014.yaintt,,und,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,ttp.r014.unit.sec.wopami.subsection.01,contains,ttp.r014.unit.sec.wopami.discussion.02,15,,high
r014.backend.record,1.0.0,ttp.r014.relation.0016,relation,active,ttp.r014.yaintt,ttp.r014.yaintt,,und,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,ttp.r014.unit.sec.wopami,contains,ttp.r014.unit.sec.wopami.subsection.02,16,,high
r014.backend.record,1.0.0,ttp.r014.relation.0017,relation,active,ttp.r014.yaintt,ttp.r014.yaintt,,und,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,ttp.r014.unit.sec.wopami.subsection.02,contains,ttp.r014.unit.thm.pigeonhole,17,,high
r014.backend.record,1.0.0,ttp.r014.relation.0018,relation,active,ttp.r014.yaintt,ttp.r014.yaintt,,und,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,ttp.r014.unit.thm.pigeonhole,contains,ttp.r014.unit.thm.pigeonhole.proof,18,,high
r014.backend.record,1.0.0,ttp.r014.relation.0019,relation,active,ttp.r014.yaintt,ttp.r014.yaintt,,und,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,ttp.r014.unit.sec.wopami,contains,ttp.r014.unit.sec.wopami.subsection.03,19,,high
r014.backend.record,1.0.0,ttp.r014.relation.0020,relation,active,ttp.r014.yaintt,ttp.r014.yaintt,,und,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,ttp.r014.unit.sec.wopami.subsection.03,contains,ttp.r014.unit.sec.wopami.discussion.03,20,,high
r014.backend.record,1.0.0,ttp.r014.relation.0021,relation,active,ttp.r014.yaintt,ttp.r014.yaintt,,und,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,ttp.r014.unit.sec.wopami.subsection.03,contains,ttp.r014.unit.sec.wopami.theorem.induction.01,21,,high
r014.backend.record,1.0.0,ttp.r014.relation.0022,relation,active,ttp.r014.yaintt,ttp.r014.yaintt,,und,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,ttp.r014.unit.sec.wopami.theorem.induction.01,contains,ttp.r014.unit.sec.wopami.theorem.induction.01.proof,22,,high
r014.backend.record,1.0.0,ttp.r014.relation.0023,relation,active,ttp.r014.yaintt,ttp.r014.yaintt,,und,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,ttp.r014.unit.sec.wopami.subsection.03,contains,ttp.r014.unit.eg.inductionv1a,23,,high
r014.backend.record,1.0.0,ttp.r014.relation.0024,relation,active,ttp.r014.yaintt,ttp.r014.yaintt,,und,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,ttp.r014.unit.eg.inductionv1a,contains,ttp.r014.unit.eg.inductionv1a.equation.01,24,,high
r014.backend.record,1.0.0,ttp.r014.relation.0025,relation,active,ttp.r014.yaintt,ttp.r014.yaintt,,und,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,ttp.r014.unit.eg.inductionv1a,contains,ttp.r014.unit.eg.inductionv1a.equation.02,25,,high
r014.backend.record,1.0.0,ttp.r014.relation.0026,relation,active,ttp.r014.yaintt,ttp.r014.yaintt,,und,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,ttp.r014.unit.eg.inductionv1a,contains,ttp.r014.unit.eg.inductionv1a.equation.03,26,,high
r014.backend.record,1.0.0,ttp.r014.relation.0027,relation,active,ttp.r014.yaintt,ttp.r014.yaintt,,und,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,ttp.r014.unit.eg.inductionv1a,contains,ttp.r014.unit.eg.inductionv1a.equation.04,27,,high
r014.backend.record,1.0.0,ttp.r014.relation.0028,relation,active,ttp.r014.yaintt,ttp.r014.yaintt,,und,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,ttp.r014.unit.sec.wopami.subsection.03,contains,ttp.r014.unit.eg.inductionv1b,28,,high
r014.backend.record,1.0.0,ttp.r014.relation.0029,relation,active,ttp.r014.yaintt,ttp.r014.yaintt,,und,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,ttp.r014.unit.eg.inductionv1b,contains,ttp.r014.unit.eg.inductionv1b.equation.01,29,,high
