schema,schema_version,record_id,entity_class,status,work_id,resource_id,edition_id,locale,created_at,responsible_workflow,supersedes,path,media_type,bytes,sha256,toolchain,build_receipt_id,reproducible,pages,file_manifest
r014.backend.record,1.0.0,ttp.r014.artifact.adverse-ledger.boundary28-r2,artifact,active,ttp.r014.yaintt,ttp.r014.yaintt,ttp.r014.edition.id-id.boundary28-r2,en,2026-08-22T03:06:00+02:00,codex.r014.id-ID,,qa/review-candidates/boundary28-r2/ADVERSE_LEDGER.md,text/markdown,51058,dd4de4ca603dc1bf67b635bce3199fcdbf6bcacbc3b8d3736350b5a825a00f57,authoritative adverse-ledger sidecar,ttp.r014.qa.boundary28-r2-backend-structural,true,,
r014.backend.record,1.0.0,ttp.r014.artifact.authority-manifest,artifact,active,ttp.r014.yaintt,ttp.r014.yaintt,,und,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,authority/SOURCE_AUTHORITY.json,application/json,6130,2d73f08a0bf4df98b844a7ab1b5009b280ef8dccfccf8317f325a8e2582911e0,frozen byte capture,ttp.r014.qa.source-authority,true,,
r014.backend.record,1.0.0,ttp.r014.artifact.boundary1-pdf,artifact,active,ttp.r014.yaintt,ttp.r014.yaintt,,id-ID,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,output/YAINTT_ID_BOUNDARY1.pdf,application/pdf,109417,2167be5bc46bc9319b46c972afa7a5e267161ab2ce78672d098174aab5236dcd,documented in linked build receipt,ttp.r014.qa.boundary1-build,true,15,
r014.backend.record,1.0.0,ttp.r014.artifact.boundary10-pdf,artifact,active,ttp.r014.yaintt,ttp.r014.yaintt,,id-ID,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,output/YAINTT_ID_BOUNDARY10.pdf,application/pdf,304907,b2df908f800ffac7288460b83984a5983ba38f45ee1c97164bef53f27beb2b8d,documented in linked build receipt,ttp.r014.qa.boundary10-build,true,50,
r014.backend.record,1.0.0,ttp.r014.artifact.boundary11-pdf,artifact,active,ttp.r014.yaintt,ttp.r014.yaintt,,id-ID,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,output/YAINTT_ID_BOUNDARY11.pdf,application/pdf,324572,06fd57a4f86134af025d72f5792d8258a68fc792749f463bd8f4fa58a731b2c9,documented in linked build receipt,ttp.r014.qa.boundary11-build,true,52,
r014.backend.record,1.0.0,ttp.r014.artifact.boundary12-build-receipt-evidence,artifact,active,ttp.r014.yaintt,ttp.r014.yaintt,,und,2026-08-22T03:06:00+02:00,codex.r014.id-ID,,qa/BOUNDARY12_BUILD.json,application/json,4762,836bfaea2e7545e89d9e6152ddbf5c951186a701d996cb5598819f653672ae88,recorded build receipt,ttp.r014.qa.boundary12-build-evidence,true,,
r014.backend.record,1.0.0,ttp.r014.artifact.boundary12-reader-evidence,artifact,active,ttp.r014.yaintt,ttp.r014.yaintt,,id-ID,2026-08-22T03:06:00+02:00,codex.r014.id-ID,,output/YAINTT_ID_BOUNDARY12.pdf,application/pdf,349125,2848af400d3f76d863ee6a2a68cee2dda441443d985489b4b6c63410ce98c0ed,LaTeX/BibTeX/MakeIndex/DVIPS/Ghostscript plus deterministic PDF normalization,ttp.r014.qa.boundary12-build-evidence,true,56,
r014.backend.record,1.0.0,ttp.r014.artifact.boundary12-visual-receipt-evidence,artifact,active,ttp.r014.yaintt,ttp.r014.yaintt,,und,2026-08-22T03:06:00+02:00,codex.r014.id-ID,,qa/BOUNDARY12_VISUAL.json,application/json,2751,1961ff9d80a056bf9f8742708e382404c03f42da554b2db0dfc148657f897668,recorded visual receipt,ttp.r014.qa.boundary12-visual-evidence,true,,
r014.backend.record,1.0.0,ttp.r014.artifact.boundary13-build-receipt-evidence,artifact,active,ttp.r014.yaintt,ttp.r014.yaintt,,und,2026-08-22T03:06:00+02:00,codex.r014.id-ID,,qa/BOUNDARY13_BUILD.json,application/json,5699,aaf7fe7d6899b536a2402f883b96c8aaff3f58e882d13d664af7638e2bc5e5f7,recorded build receipt,ttp.r014.qa.boundary13-build-evidence,true,,
r014.backend.record,1.0.0,ttp.r014.artifact.boundary13-reader-evidence,artifact,active,ttp.r014.yaintt,ttp.r014.yaintt,,id-ID,2026-08-22T03:06:00+02:00,codex.r014.id-ID,,output/YAINTT_ID_BOUNDARY13.pdf,application/pdf,360776,7a1af9290b8a092198af6f0b0eb654f4d522428be1afaa4e8fc52bc51d905f74,LaTeX/BibTeX/MakeIndex/DVIPS/Ghostscript plus deterministic PDF normalization,ttp.r014.qa.boundary13-build-evidence,true,58,
r014.backend.record,1.0.0,ttp.r014.artifact.boundary13-visual-receipt-evidence,artifact,active,ttp.r014.yaintt,ttp.r014.yaintt,,und,2026-08-22T03:06:00+02:00,codex.r014.id-ID,,qa/BOUNDARY13_VISUAL.json,application/json,2883,dca311fcf9b5f043b7a7ae797897e78e754ea4e7338a8acffbeab56433f431c8,recorded visual receipt,ttp.r014.qa.boundary13-visual-evidence,true,,
r014.backend.record,1.0.0,ttp.r014.artifact.boundary14-build-receipt-evidence,artifact,active,ttp.r014.yaintt,ttp.r014.yaintt,,und,2026-08-22T03:06:00+02:00,codex.r014.id-ID,,qa/BOUNDARY14_BUILD.json,application/json,5656,dfd3b380c82ff95dd090d71ba0d70dcf6b14fed312a68a619e99b68f7c5a445a,recorded build receipt,ttp.r014.qa.boundary14-build-evidence,true,,
r014.backend.record,1.0.0,ttp.r014.artifact.boundary14-reader-evidence,artifact,active,ttp.r014.yaintt,ttp.r014.yaintt,,id-ID,2026-08-22T03:06:00+02:00,codex.r014.id-ID,,output/YAINTT_ID_BOUNDARY14.pdf,application/pdf,392739,e3c3d944c583b3620d16889c7a18cd440d411a20cd74f0ee1d5767766eacde05,LaTeX/BibTeX/MakeIndex/DVIPS/Ghostscript plus deterministic PDF normalization,ttp.r014.qa.boundary14-build-evidence,true,62,
r014.backend.record,1.0.0,ttp.r014.artifact.boundary14-visual-receipt-evidence,artifact,active,ttp.r014.yaintt,ttp.r014.yaintt,,und,2026-08-22T03:06:00+02:00,codex.r014.id-ID,,qa/BOUNDARY14_VISUAL.json,application/json,3027,4fb0af037b99dc2f6439f8ed23a0e243deae13a0c1447cd30393ae1b0dcb2e92,recorded visual receipt,ttp.r014.qa.boundary14-visual-evidence,true,,
r014.backend.record,1.0.0,ttp.r014.artifact.boundary15-build-receipt-evidence,artifact,active,ttp.r014.yaintt,ttp.r014.yaintt,,und,2026-08-22T03:06:00+02:00,codex.r014.id-ID,,qa/BOUNDARY15_BUILD.json,application/json,5430,02ed57304398336afe39637f59c64030ae9f1ce17b8bb0050438f4e0d695b019,recorded build receipt,ttp.r014.qa.boundary15-build-evidence,true,,
r014.backend.record,1.0.0,ttp.r014.artifact.boundary15-reader-evidence,artifact,active,ttp.r014.yaintt,ttp.r014.yaintt,,id-ID,2026-08-22T03:06:00+02:00,codex.r014.id-ID,,output/YAINTT_ID_BOUNDARY15.pdf,application/pdf,410473,d1c558471e1af049897430c496a3d3b9c1c1e379c6d2969d3e2442dc2ca387b5,LaTeX/BibTeX/MakeIndex/DVIPS/Ghostscript plus deterministic PDF normalization,ttp.r014.qa.boundary15-build-evidence,true,66,
r014.backend.record,1.0.0,ttp.r014.artifact.boundary15-visual-receipt-evidence,artifact,active,ttp.r014.yaintt,ttp.r014.yaintt,,und,2026-08-22T03:06:00+02:00,codex.r014.id-ID,,qa/BOUNDARY15_VISUAL.json,application/json,3040,dcb058c6c6324b3b5672f4feaf88a292df7fa369801cf0613eaebb67d8691219,recorded visual receipt,ttp.r014.qa.boundary15-visual-evidence,true,,
r014.backend.record,1.0.0,ttp.r014.artifact.boundary16-build-receipt-evidence,artifact,active,ttp.r014.yaintt,ttp.r014.yaintt,,und,2026-08-22T03:06:00+02:00,codex.r014.id-ID,,qa/BOUNDARY16_BUILD.json,application/json,6869,9bf4c09805e1f44f75f63f09fe6a089c03a40f997757656d137c2083a6071694,recorded build receipt,ttp.r014.qa.boundary16-build-evidence,true,,
r014.backend.record,1.0.0,ttp.r014.artifact.boundary16-reader-evidence,artifact,active,ttp.r014.yaintt,ttp.r014.yaintt,,id-ID,2026-08-22T03:06:00+02:00,codex.r014.id-ID,,output/YAINTT_ID_BOUNDARY16.pdf,application/pdf,471809,b55c96bc7391d615527e9e9a198f1c53816aa690b190bd3f4e7cd59398cd11ba,LaTeX/BibTeX/MakeIndex/DVIPS/Ghostscript plus deterministic PDF normalization,ttp.r014.qa.boundary16-build-evidence,true,75,
r014.backend.record,1.0.0,ttp.r014.artifact.boundary16-visual-receipt-evidence,artifact,active,ttp.r014.yaintt,ttp.r014.yaintt,,und,2026-08-22T03:06:00+02:00,codex.r014.id-ID,,qa/BOUNDARY16_VISUAL.json,application/json,3816,3587c689d135392c76743f7dbeb14346192a96f4beb4ff6e7b3792b9669f622f,recorded visual receipt,ttp.r014.qa.boundary16-visual-evidence,true,,
