schema,schema_version,record_id,entity_class,status,work_id,resource_id,edition_id,locale,created_at,responsible_workflow,supersedes,concept_code,name_en,name_id,prerequisite_concept_ids,taxonomy_path,evidence
r014.backend.record,1.0.0,ttp.concept.addition,concept,active,ttp.r014.yaintt,ttp.r014.yaintt,,und,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,addition,addition,penjumlahan,"[""ttp.concept.integer""]",mathematics/number-theory/addition,"{""path"":""qa/frozen-boundaries/boundary3/yaintt-id.tex"",""target_sha256"":""695c071582bdee94a297987c820195b31fe808c16dbb1c0f07559e2b2ed73666""}"
r014.backend.record,1.0.0,ttp.concept.additive_inverse,concept,active,ttp.r014.yaintt,ttp.r014.yaintt,,und,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,additive_inverse,additive inverse,invers aditif,"[""ttp.concept.addition"",""ttp.concept.identity_element""]",mathematics/number-theory/additive_inverse,"{""path"":""qa/frozen-boundaries/boundary3/yaintt-id.tex"",""target_sha256"":""695c071582bdee94a297987c820195b31fe808c16dbb1c0f07559e2b2ed73666""}"
r014.backend.record,1.0.0,ttp.concept.ascii,concept,active,ttp.r014.yaintt,ttp.r014.yaintt,,und,2026-08-22T03:06:00+02:00,codex.r014.id-ID,,ascii,ASCII,ASCII,[],computer-science/cryptography/ascii,"{""notes"":""Retain the expanded English standard name and add an Indonesian gloss."",""path"":""qa/review-candidates/boundary28-r2/TERMINOLOGY.md"",""sha256"":""3e3fe31baa8565bbc54cd6d789570cac18ed469f68cf683f08dd639ef92d9bd1"",""terminology_id"":""encoding.ascii""}"
r014.backend.record,1.0.0,ttp.concept.associativity,concept,active,ttp.r014.yaintt,ttp.r014.yaintt,,und,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,associativity,associativity,asosiativitas,"[""ttp.concept.binary_operation""]",mathematics/number-theory/associativity,"{""path"":""qa/frozen-boundaries/boundary3/yaintt-id.tex"",""target_sha256"":""695c071582bdee94a297987c820195b31fe808c16dbb1c0f07559e2b2ed73666""}"
r014.backend.record,1.0.0,ttp.concept.asymmetric_cipher,concept,active,ttp.r014.yaintt,ttp.r014.yaintt,,und,2026-08-22T03:06:00+02:00,codex.r014.id-ID,,asymmetric_cipher,asymmetric cipher / cryptosystem / encryption,cipher / kriptosistem / enkripsi asimetris,[],computer-science/cryptography/asymmetric_cipher,"{""notes"":""Separate associated encryption and decryption keyspaces."",""path"":""qa/review-candidates/boundary28-r2/TERMINOLOGY.md"",""sha256"":""3e3fe31baa8565bbc54cd6d789570cac18ed469f68cf683f08dd639ef92d9bd1"",""terminology_id"":""crypto.asymmetric_cipher""}"
r014.backend.record,1.0.0,ttp.concept.authentication,concept,active,ttp.r014.yaintt,ttp.r014.yaintt,,und,2026-08-22T03:06:00+02:00,codex.r014.id-ID,,authentication,authentication,autentikasi,[],computer-science/cryptography/authentication,"{""notes"":""Here, verification of the sender's identity."",""path"":""qa/review-candidates/boundary28-r2/TERMINOLOGY.md"",""sha256"":""3e3fe31baa8565bbc54cd6d789570cac18ed469f68cf683f08dd639ef92d9bd1"",""terminology_id"":""security.authentication""}"
r014.backend.record,1.0.0,ttp.concept.base,concept,active,ttp.r014.yaintt,ttp.r014.yaintt,,und,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,base,base,basis,"[""ttp.concept.integer""]",mathematics/number-theory/base,"{""path"":""qa/frozen-boundaries/boundary4/yaintt-id.tex"",""target_sha256"":""6579069bd8ca959042eaeba5b743d5eb4a3ed3e58828e55a827a30f0b0066859""}"
r014.backend.record,1.0.0,ttp.concept.base_representation,concept,active,ttp.r014.yaintt,ttp.r014.yaintt,,und,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,base_representation,base-b representation,representasi basis b,"[""ttp.concept.base"",""ttp.concept.natural_number"",""ttp.concept.division_algorithm""]",mathematics/number-theory/base_representation,"{""path"":""qa/frozen-boundaries/boundary4/yaintt-id.tex"",""target_sha256"":""6579069bd8ca959042eaeba5b743d5eb4a3ed3e58828e55a827a30f0b0066859""}"
r014.backend.record,1.0.0,ttp.concept.bijective,concept,active,ttp.r014.yaintt,ttp.r014.yaintt,,und,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,bijective,bijective,bijektif,"[""ttp.concept.injective"",""ttp.concept.surjective""]",mathematics/number-theory/bijective,"{""path"":""qa/frozen-boundaries/boundary11/yaintt-id.tex"",""target_sha256"":""cccf9bac270237c36545b61973c49e02afc3d19a5828c7a9dfb1fed524ec9a53""}"
r014.backend.record,1.0.0,ttp.concept.binary_operation,concept,active,ttp.r014.yaintt,ttp.r014.yaintt,,und,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,binary_operation,binary operation,operasi biner,[],mathematics/number-theory/binary_operation,"{""path"":""qa/frozen-boundaries/boundary3/yaintt-id.tex"",""target_sha256"":""695c071582bdee94a297987c820195b31fe808c16dbb1c0f07559e2b2ed73666""}"
