schema,schema_version,record_id,entity_class,status,work_id,resource_id,edition_id,locale,created_at,responsible_workflow,supersedes,order,concept_id,source_term,target_term,variants,rejected_forms,scope,register,evidence,examples
r014.backend.record,1.0.0,ttp.r014.term.001,term,active,ttp.r014.yaintt,ttp.r014.yaintt,,id-ID,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,1,ttp.concept.well_ordering_principle,well-ordering principle,prinsip keterurutan baik,[],"[""pengurutan baik"",""prinsip terurut baik""]",R014 mathematical prose,formal textbook,"{""path"":""00_control/TERMINOLOGY.md"",""target_sha256"":""695c071582bdee94a297987c820195b31fe808c16dbb1c0f07559e2b2ed73666""}","[{""evidence_path"":""00_control/TERMINOLOGY.md"",""source_text"":""well-ordering principle"",""target_text"":""prinsip keterurutan baik"",""usage"":""canonical R014 term mapping""}]"
r014.backend.record,1.0.0,ttp.r014.term.002,term,active,ttp.r014.yaintt,ttp.r014.yaintt,,id-ID,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,2,ttp.concept.least_element,least element,elemen terkecil,[],[],R014 mathematical prose,formal textbook,"{""path"":""00_control/TERMINOLOGY.md"",""target_sha256"":""695c071582bdee94a297987c820195b31fe808c16dbb1c0f07559e2b2ed73666""}","[{""evidence_path"":""00_control/TERMINOLOGY.md"",""source_text"":""least element"",""target_text"":""elemen terkecil"",""usage"":""canonical R014 term mapping""}]"
r014.backend.record,1.0.0,ttp.r014.term.003,term,active,ttp.r014.yaintt,ttp.r014.yaintt,,id-ID,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,3,ttp.concept.pigeonhole_principle,pigeonhole principle,prinsip sarang merpati,[],"[""rumah merpati""]",R014 mathematical prose,formal textbook,"{""path"":""00_control/TERMINOLOGY.md"",""target_sha256"":""695c071582bdee94a297987c820195b31fe808c16dbb1c0f07559e2b2ed73666""}","[{""evidence_path"":""00_control/TERMINOLOGY.md"",""source_text"":""pigeonhole principle"",""target_text"":""prinsip sarang merpati"",""usage"":""canonical R014 term mapping""}]"
r014.backend.record,1.0.0,ttp.r014.term.004,term,active,ttp.r014.yaintt,ttp.r014.yaintt,,id-ID,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,4,ttp.concept.mathematical_induction,mathematical induction,induksi matematika,[],[],R014 mathematical prose,formal textbook,"{""path"":""00_control/TERMINOLOGY.md"",""target_sha256"":""695c071582bdee94a297987c820195b31fe808c16dbb1c0f07559e2b2ed73666""}","[{""evidence_path"":""00_control/TERMINOLOGY.md"",""source_text"":""mathematical induction"",""target_text"":""induksi matematika"",""usage"":""canonical R014 term mapping""}]"
r014.backend.record,1.0.0,ttp.r014.term.005,term,active,ttp.r014.yaintt,ttp.r014.yaintt,,id-ID,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,5,ttp.concept.strong_induction,second principle of mathematical induction,prinsip kedua induksi matematika,"[""induksi kuat""]",[],R014 mathematical prose,formal textbook,"{""path"":""00_control/TERMINOLOGY.md"",""target_sha256"":""695c071582bdee94a297987c820195b31fe808c16dbb1c0f07559e2b2ed73666""}","[{""evidence_path"":""00_control/TERMINOLOGY.md"",""source_text"":""second principle of mathematical induction"",""target_text"":""prinsip kedua induksi matematika"",""usage"":""canonical R014 term mapping""}]"
r014.backend.record,1.0.0,ttp.r014.term.006,term,active,ttp.r014.yaintt,ttp.r014.yaintt,,id-ID,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,6,ttp.concept.natural_number,natural number,bilangan asli,[],[],R014 mathematical prose,formal textbook,"{""path"":""00_control/TERMINOLOGY.md"",""target_sha256"":""695c071582bdee94a297987c820195b31fe808c16dbb1c0f07559e2b2ed73666""}","[{""evidence_path"":""00_control/TERMINOLOGY.md"",""source_text"":""natural number"",""target_text"":""bilangan asli"",""usage"":""canonical R014 term mapping""}]"
r014.backend.record,1.0.0,ttp.r014.term.007,term,active,ttp.r014.yaintt,ttp.r014.yaintt,,id-ID,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,7,ttp.concept.integer,integer,bilangan bulat,[],[],R014 mathematical prose,formal textbook,"{""path"":""00_control/TERMINOLOGY.md"",""target_sha256"":""695c071582bdee94a297987c820195b31fe808c16dbb1c0f07559e2b2ed73666""}","[{""evidence_path"":""00_control/TERMINOLOGY.md"",""source_text"":""integer"",""target_text"":""bilangan bulat"",""usage"":""canonical R014 term mapping""}]"
r014.backend.record,1.0.0,ttp.r014.term.008,term,active,ttp.r014.yaintt,ttp.r014.yaintt,,id-ID,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,8,ttp.concept.cryptology,cryptology,kriptologi,[],"[""kriptografi""]",R014 mathematical prose,formal textbook,"{""path"":""00_control/TERMINOLOGY.md"",""target_sha256"":""695c071582bdee94a297987c820195b31fe808c16dbb1c0f07559e2b2ed73666""}","[{""evidence_path"":""00_control/TERMINOLOGY.md"",""source_text"":""cryptology"",""target_text"":""kriptologi"",""usage"":""canonical R014 term mapping""}]"
r014.backend.record,1.0.0,ttp.r014.term.009,term,active,ttp.r014.yaintt,ttp.r014.yaintt,,id-ID,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,9,ttp.concept.cryptography,cryptography,kriptografi,[],[],R014 mathematical prose,formal textbook,"{""path"":""00_control/TERMINOLOGY.md"",""target_sha256"":""695c071582bdee94a297987c820195b31fe808c16dbb1c0f07559e2b2ed73666""}","[{""evidence_path"":""00_control/TERMINOLOGY.md"",""source_text"":""cryptography"",""target_text"":""kriptografi"",""usage"":""canonical R014 term mapping""}]"
r014.backend.record,1.0.0,ttp.r014.term.010,term,active,ttp.r014.yaintt,ttp.r014.yaintt,,id-ID,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,10,ttp.concept.cryptanalysis,cryptanalysis,kriptanalisis,[],[],R014 mathematical prose,formal textbook,"{""path"":""00_control/TERMINOLOGY.md"",""target_sha256"":""695c071582bdee94a297987c820195b31fe808c16dbb1c0f07559e2b2ed73666""}","[{""evidence_path"":""00_control/TERMINOLOGY.md"",""source_text"":""cryptanalysis"",""target_text"":""kriptanalisis"",""usage"":""canonical R014 term mapping""}]"
r014.backend.record,1.0.0,ttp.r014.term.011,term,active,ttp.r014.yaintt,ttp.r014.yaintt,,id-ID,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,11,ttp.concept.cryptosystem,cryptosystem,kriptosistem,[],[],R014 mathematical prose,formal textbook,"{""path"":""00_control/TERMINOLOGY.md"",""target_sha256"":""695c071582bdee94a297987c820195b31fe808c16dbb1c0f07559e2b2ed73666""}","[{""evidence_path"":""00_control/TERMINOLOGY.md"",""source_text"":""cryptosystem"",""target_text"":""kriptosistem"",""usage"":""canonical R014 term mapping""}]"
r014.backend.record,1.0.0,ttp.r014.term.012,term,active,ttp.r014.yaintt,ttp.r014.yaintt,,id-ID,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,12,ttp.concept.key_exchange,key exchange,pertukaran kunci,[],[],R014 mathematical prose,formal textbook,"{""path"":""00_control/TERMINOLOGY.md"",""target_sha256"":""695c071582bdee94a297987c820195b31fe808c16dbb1c0f07559e2b2ed73666""}","[{""evidence_path"":""00_control/TERMINOLOGY.md"",""source_text"":""key exchange"",""target_text"":""pertukaran kunci"",""usage"":""canonical R014 term mapping""}]"
r014.backend.record,1.0.0,ttp.r014.term.013,term,active,ttp.r014.yaintt,ttp.r014.yaintt,,id-ID,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,13,ttp.concept.rsa,RSA cryptosystem,kriptosistem RSA,[],[],R014 mathematical prose,formal textbook,"{""path"":""00_control/TERMINOLOGY.md"",""target_sha256"":""695c071582bdee94a297987c820195b31fe808c16dbb1c0f07559e2b2ed73666""}","[{""evidence_path"":""00_control/TERMINOLOGY.md"",""source_text"":""RSA cryptosystem"",""target_text"":""kriptosistem RSA"",""usage"":""canonical R014 term mapping""}]"
r014.backend.record,1.0.0,ttp.r014.term.014,term,active,ttp.r014.yaintt,ttp.r014.yaintt,,id-ID,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,14,ttp.concept.diffie_hellman,Diffie-Hellman key exchange,pertukaran kunci Diffie-Hellman,[],[],R014 mathematical prose,formal textbook,"{""path"":""00_control/TERMINOLOGY.md"",""target_sha256"":""695c071582bdee94a297987c820195b31fe808c16dbb1c0f07559e2b2ed73666""}","[{""evidence_path"":""00_control/TERMINOLOGY.md"",""source_text"":""Diffie-Hellman key exchange"",""target_text"":""pertukaran kunci Diffie-Hellman"",""usage"":""canonical R014 term mapping""}]"
r014.backend.record,1.0.0,ttp.r014.term.015,term,active,ttp.r014.yaintt,ttp.r014.yaintt,,id-ID,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,15,ttp.concept.elgamal,ElGamal cryptosystem,kriptosistem ElGamal,[],[],R014 mathematical prose,formal textbook,"{""path"":""00_control/TERMINOLOGY.md"",""target_sha256"":""695c071582bdee94a297987c820195b31fe808c16dbb1c0f07559e2b2ed73666""}","[{""evidence_path"":""00_control/TERMINOLOGY.md"",""source_text"":""ElGamal cryptosystem"",""target_text"":""kriptosistem ElGamal"",""usage"":""canonical R014 term mapping""}]"
r014.backend.record,1.0.0,ttp.r014.term.016,term,active,ttp.r014.yaintt,ttp.r014.yaintt,,id-ID,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,16,ttp.concept.euler_theorem,Euler's theorem,Teorema Euler,[],[],R014 mathematical prose,formal textbook,"{""path"":""00_control/TERMINOLOGY.md"",""target_sha256"":""695c071582bdee94a297987c820195b31fe808c16dbb1c0f07559e2b2ed73666""}","[{""evidence_path"":""00_control/TERMINOLOGY.md"",""source_text"":""Euler's theorem"",""target_text"":""Teorema Euler"",""usage"":""canonical R014 term mapping""}]"
r014.backend.record,1.0.0,ttp.r014.term.017,term,active,ttp.r014.yaintt,ttp.r014.yaintt,,id-ID,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,17,ttp.concept.primitive_root,primitive root,akar primitif,[],[],R014 mathematical prose,formal textbook,"{""path"":""00_control/TERMINOLOGY.md"",""target_sha256"":""695c071582bdee94a297987c820195b31fe808c16dbb1c0f07559e2b2ed73666""}","[{""evidence_path"":""00_control/TERMINOLOGY.md"",""source_text"":""primitive root"",""target_text"":""akar primitif"",""usage"":""canonical R014 term mapping""}]"
r014.backend.record,1.0.0,ttp.r014.term.018,term,active,ttp.r014.yaintt,ttp.r014.yaintt,,id-ID,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,18,ttp.concept.index_discrete_log,number-theoretic index,indeks,"[""logaritma diskret""]",[],R014 mathematical prose,formal textbook,"{""path"":""00_control/TERMINOLOGY.md"",""target_sha256"":""695c071582bdee94a297987c820195b31fe808c16dbb1c0f07559e2b2ed73666""}","[{""evidence_path"":""00_control/TERMINOLOGY.md"",""source_text"":""number-theoretic index"",""target_text"":""indeks"",""usage"":""canonical R014 term mapping""}]"
