schema,schema_version,record_id,entity_class,status,work_id,resource_id,edition_id,locale,created_at,responsible_workflow,supersedes,path,url,role,bytes,sha256,mime_type,rights_id,dependency_ids,retrieved_utc,server_last_modified,target_variant,target_disposition
r014.backend.record,1.0.0,ttp.r014.asset.authority.by_sa_eps,asset,active,ttp.r014.yaintt,ttp.r014.yaintt,,und,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,authority/downloads/by-sa.eps,https://poritz.net/jonathan/share/yaintt/by-sa.eps,license_badge_asset,65771,df101009fda227f5b7e550d2c9dc04d5abf60174ef94732a346fdea090d23e29,application/postscript,rights.yaintt.license_badge,[],2026-08-20T19:17:39.1294189Z,2014-07-20T23:31:24Z,,omitted_rights_unclosed
r014.backend.record,1.0.0,ttp.r014.asset.authority.cover_art_eps,asset,active,ttp.r014.yaintt,ttp.r014.yaintt,,und,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,authority/downloads/cover_art.eps,https://poritz.net/jonathan/share/yaintt/cover_art.eps,cover_asset,48828,076b45fffb0031e9cf35883c4123de72c9d302dc963975a88c64a81f7c8c78d1,application/postscript,rights.yaintt.text_and_author_assets,[],2026-08-20T19:17:39.3060706Z,2014-07-20T23:31:29Z,"{""bytes"":48828,""path"":""source/assets/cover_art.eps"",""sha256"":""076b45fffb0031e9cf35883c4123de72c9d302dc963975a88c64a81f7c8c78d1""}",preserved_or_localised
r014.backend.record,1.0.0,ttp.r014.asset.authority.dbend_eps,asset,active,ttp.r014.yaintt,ttp.r014.yaintt,,und,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,authority/downloads/dbend.eps,https://poritz.net/jonathan/share/yaintt/dbend.eps,caution_symbol_asset,13704,bddd8601f3e402ed262b19332b77cb45442a82c4895e80c1c368686e05f6c2a4,application/postscript,rights.yaintt.text_and_author_assets,[],2026-08-20T19:17:39.4929184Z,2014-07-20T23:31:39Z,"{""bytes"":13704,""path"":""source/assets/dbend.eps"",""sha256"":""bddd8601f3e402ed262b19332b77cb45442a82c4895e80c1c368686e05f6c2a4""}",preserved_or_localised
r014.backend.record,1.0.0,ttp.r014.asset.authority.eng_freq_hist_eps,asset,active,ttp.r014.yaintt,ttp.r014.yaintt,,und,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,authority/downloads/eng_freq_hist.eps,https://poritz.net/jonathan/share/yaintt/eng_freq_hist.eps,figure_asset,301732,d06715934780939e1631f5743f35dfeb6b9c327d056c7f79f77c26c22b9b9199,application/postscript,rights.yaintt.text_and_author_assets,[],2026-08-20T19:17:40.3723393Z,2014-07-20T23:31:49Z,"{""bytes"":301732,""path"":""source/assets/eng_freq_hist.eps"",""sha256"":""d06715934780939e1631f5743f35dfeb6b9c327d056c7f79f77c26c22b9b9199""}",preserved_or_localised
r014.backend.record,1.0.0,ttp.r014.asset.authority.hamhip_freqs_eps,asset,active,ttp.r014.yaintt,ttp.r014.yaintt,,und,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,authority/downloads/hamhip_freqs.eps,https://poritz.net/jonathan/share/yaintt/hamhip_freqs.eps,figure_asset,101596,dce37ecc01cd9d445b24ccd7e464063e59a2b3bc270ba1385e821968207d9c01,application/postscript,rights.yaintt.text_and_author_assets,[],2026-08-20T19:17:40.7127547Z,2014-07-20T23:31:53Z,"{""bytes"":101596,""path"":""source/assets/hamhip_freqs.eps"",""sha256"":""dce37ecc01cd9d445b24ccd7e464063e59a2b3bc270ba1385e821968207d9c01""}",preserved_or_localised
r014.backend.record,1.0.0,ttp.r014.asset.authority.index_html,asset,active,ttp.r014.yaintt,ttp.r014.yaintt,,und,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,authority/downloads/index.html,https://poritz.net/jonathan/share/yaintt/,landing_and_license_authority,13255,0a80bd3f3b835a04a4bad8639b0ac83678faa91e669d3d7dc7acc53cd02e73aa,text/html,rights.yaintt.landing_page,[],2026-08-20T19:16:16.1732766Z,,,authority_witness_only
r014.backend.record,1.0.0,ttp.r014.asset.authority.refs_bib,asset,active,ttp.r014.yaintt,ttp.r014.yaintt,,und,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,authority/downloads/refs.bib,https://poritz.net/jonathan/share/yaintt/refs.bib,bibtex_database,4406,115c8a3b51dec2ce3dd1595953127beeed02dd30698fa1f91c8d4fa580ec1d8a,application/x-bibtex,rights.yaintt.text_and_author_assets,[],2026-08-20T19:17:38.9601816Z,2014-07-20T23:32:03Z,"{""bytes"":4406,""path"":""source/refs.bib"",""sha256"":""115c8a3b51dec2ce3dd1595953127beeed02dd30698fa1f91c8d4fa580ec1d8a""}",preserved_or_localised
r014.backend.record,1.0.0,ttp.r014.asset.authority.samp_cct_hist_eps,asset,active,ttp.r014.yaintt,ttp.r014.yaintt,,und,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,authority/downloads/samp_Cct_hist.eps,https://poritz.net/jonathan/share/yaintt/samp_Cct_hist.eps,figure_asset,92360,2960ad2f0d3ee99be8e10352821ad5b72c9e5fa6ee976571a33df9f1d4e9c5d7,application/postscript,rights.yaintt.text_and_author_assets,[],2026-08-20T19:17:41.0576302Z,2014-07-20T23:32:07Z,"{""bytes"":92360,""path"":""source/assets/samp_Cct_hist.eps"",""sha256"":""2960ad2f0d3ee99be8e10352821ad5b72c9e5fa6ee976571a33df9f1d4e9c5d7""}",preserved_or_localised
r014.backend.record,1.0.0,ttp.r014.asset.authority.scytale_eps,asset,active,ttp.r014.yaintt,ttp.r014.yaintt,,und,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,authority/downloads/Scytale.eps,https://poritz.net/jonathan/share/yaintt/Scytale.eps,third_party_figure_asset,85548,e34c6fae11957f5ffde765fe73546c84e71fc81c8c3a0db6b39d4b681c3af780,application/postscript,rights.yaintt.scytale,[],2026-08-20T19:17:41.5641073Z,2014-07-20T23:32:13Z,"{""bytes"":85548,""path"":""source/assets/Scytale.eps"",""sha256"":""e34c6fae11957f5ffde765fe73546c84e71fc81c8c3a0db6b39d4b681c3af780""}",preserved_or_localised
r014.backend.record,1.0.0,ttp.r014.asset.authority.seadk_cct_eps,asset,active,ttp.r014.yaintt,ttp.r014.yaintt,,und,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,authority/downloads/seadk_Cct.eps,https://poritz.net/jonathan/share/yaintt/seadk_Cct.eps,figure_asset,61214,5819fa5143ba305eb2f7f9c41964739061ae762cbb6e2c5b092361053eddea7e,application/postscript,rights.yaintt.text_and_author_assets,[],2026-08-20T19:17:41.9067865Z,2014-07-20T23:32:18Z,"{""bytes"":61214,""path"":""source/assets/seadk_Cct.eps"",""sha256"":""5819fa5143ba305eb2f7f9c41964739061ae762cbb6e2c5b092361053eddea7e""}",preserved_or_localised
r014.backend.record,1.0.0,ttp.r014.asset.authority.seadk_hamhip_eps,asset,active,ttp.r014.yaintt,ttp.r014.yaintt,,und,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,authority/downloads/seadk_hamhip.eps,https://poritz.net/jonathan/share/yaintt/seadk_hamhip.eps,figure_asset,51160,e8e958d437d431451095d24eebbdd97f1b1f84579792678bdedb6588eeab1f82,application/postscript,rights.yaintt.text_and_author_assets,[],2026-08-20T19:17:43.3272269Z,2014-07-20T23:32:22Z,"{""bytes"":51160,""path"":""source/assets/seadk_hamhip.eps"",""sha256"":""e8e958d437d431451095d24eebbdd97f1b1f84579792678bdedb6588eeab1f82""}",preserved_or_localised
r014.backend.record,1.0.0,ttp.r014.asset.authority.seadk_rkkrt_eps,asset,active,ttp.r014.yaintt,ttp.r014.yaintt,,und,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,authority/downloads/seadk_rkkrt.eps,https://poritz.net/jonathan/share/yaintt/seadk_rkkrt.eps,figure_asset,69918,1bc7e601b694bb1d736cbd3275434005e1654d2639e0e36d0ea858a9bd7c7d1e,application/postscript,rights.yaintt.text_and_author_assets,[],2026-08-20T19:17:43.6744897Z,2014-07-20T23:32:27Z,"{""bytes"":69918,""path"":""source/assets/seadk_rkkrt.eps"",""sha256"":""1bc7e601b694bb1d736cbd3275434005e1654d2639e0e36d0ea858a9bd7c7d1e""}",preserved_or_localised
r014.backend.record,1.0.0,ttp.r014.asset.authority.yaintt_pdf,asset,active,ttp.r014.yaintt,ttp.r014.yaintt,,und,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,authority/downloads/yaintt.pdf,https://www.poritz.net/jonathan/share/yaintt.pdf,official_source_corresponding_pdf,881013,44ae6b2b3dd3c44ee4a6c59c57b623861cabae2a33d1d057df99a1e5c6dcb09f,application/pdf,rights.yaintt.official_pdf,[],2026-08-20T19:17:46.6120018Z,2014-07-20T23:31:08Z,,authority_witness_only
r014.backend.record,1.0.0,ttp.r014.asset.authority.yaintt_tex,asset,active,ttp.r014.yaintt,ttp.r014.yaintt,,und,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,authority/downloads/yaintt.tex,https://poritz.net/jonathan/share/yaintt/yaintt.tex,main_latex_source,241340,d2967870a0d43de60c590a2bb40cee6915e7b6d68a0dd3ad574f64c7b6430829,application/x-tex,rights.yaintt.text_and_author_assets,"[""ttp.r014.asset.authority.refs_bib"",""ttp.r014.asset.authority.by_sa_eps"",""ttp.r014.asset.authority.cover_art_eps"",""ttp.r014.asset.authority.dbend_eps"",""ttp.r014.asset.authority.eng_freq_hist_eps"",""ttp.r014.asset.authority.hamhip_freqs_eps"",""ttp.r014.asset.authority.samp_cct_hist_eps"",""ttp.r014.asset.authority.scytale_eps"",""ttp.r014.asset.authority.seadk_cct_eps"",""ttp.r014.asset.authority.seadk_hamhip_eps"",""ttp.r014.asset.authority.seadk_rkkrt_eps""]",2026-08-20T19:17:38.6646756Z,2014-07-20T23:32:34Z,"{""bytes"":244748,""path"":""qa/frozen-boundaries/boundary3/yaintt-id.tex"",""sha256"":""695c071582bdee94a297987c820195b31fe808c16dbb1c0f07559e2b2ed73666""}",preserved_or_localised
