schema,schema_version,record_id,entity_class,status,work_id,resource_id,edition_id,locale,created_at,responsible_workflow,supersedes,qa_type,result,witness_ids,evidence,method,event_timestamp
r014.backend.record,1.0.0,ttp.r014.qa.backend-boundary10-determinism,qa_event,active,ttp.r014.yaintt,ttp.r014.yaintt,,und,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,backend_deterministic_roundtrip,pass,"[""ttp.r014.artifact.qa-bundle.boundary10""]","{""path"":""qa/BACKEND_DETERMINISM.json""}","two isolated clean builds plus schema, referential, CSV, XLSX, manifest, preview, and byte replay",2026-08-21T13:53:00+02:00
r014.backend.record,1.0.0,ttp.r014.qa.backend-boundary11-determinism,qa_event,active,ttp.r014.yaintt,ttp.r014.yaintt,,und,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,backend_deterministic_roundtrip,pass,"[""ttp.r014.artifact.qa-bundle.boundary11""]","{""path"":""qa/BACKEND_DETERMINISM.json""}","two isolated clean builds plus schema, referential, CSV, XLSX, manifest, preview, and byte replay",2026-08-21T13:53:00+02:00
r014.backend.record,1.0.0,ttp.r014.qa.backend-boundary4-determinism,qa_event,active,ttp.r014.yaintt,ttp.r014.yaintt,,und,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,backend_deterministic_roundtrip,pass,"[""ttp.r014.artifact.qa-bundle.boundary4""]","{""path"":""qa/BACKEND_DETERMINISM.json""}","two isolated clean builds plus schema, referential, CSV, XLSX, manifest, preview, and byte replay",2026-08-21T13:53:00+02:00
r014.backend.record,1.0.0,ttp.r014.qa.backend-boundary5-determinism,qa_event,active,ttp.r014.yaintt,ttp.r014.yaintt,,und,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,backend_deterministic_roundtrip,pass,"[""ttp.r014.artifact.qa-bundle.boundary5""]","{""path"":""qa/BACKEND_DETERMINISM.json""}","two isolated clean builds plus schema, referential, CSV, XLSX, manifest, preview, and byte replay",2026-08-21T13:53:00+02:00
r014.backend.record,1.0.0,ttp.r014.qa.backend-boundary6-determinism,qa_event,active,ttp.r014.yaintt,ttp.r014.yaintt,,und,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,backend_deterministic_roundtrip,pass,"[""ttp.r014.artifact.qa-bundle.boundary6""]","{""path"":""qa/BACKEND_DETERMINISM.json""}","two isolated clean builds plus schema, referential, CSV, XLSX, manifest, preview, and byte replay",2026-08-21T13:53:00+02:00
r014.backend.record,1.0.0,ttp.r014.qa.backend-boundary7-determinism,qa_event,active,ttp.r014.yaintt,ttp.r014.yaintt,,und,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,backend_deterministic_roundtrip,pass,"[""ttp.r014.artifact.qa-bundle.boundary7""]","{""path"":""qa/BACKEND_DETERMINISM.json""}","two isolated clean builds plus schema, referential, CSV, XLSX, manifest, preview, and byte replay",2026-08-21T13:53:00+02:00
r014.backend.record,1.0.0,ttp.r014.qa.backend-boundary8-determinism,qa_event,active,ttp.r014.yaintt,ttp.r014.yaintt,,und,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,backend_deterministic_roundtrip,pass,"[""ttp.r014.artifact.qa-bundle.boundary8""]","{""path"":""qa/BACKEND_DETERMINISM.json""}","two isolated clean builds plus schema, referential, CSV, XLSX, manifest, preview, and byte replay",2026-08-21T13:53:00+02:00
r014.backend.record,1.0.0,ttp.r014.qa.backend-boundary9-determinism,qa_event,active,ttp.r014.yaintt,ttp.r014.yaintt,,und,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,backend_deterministic_roundtrip,pass,"[""ttp.r014.artifact.qa-bundle.boundary9""]","{""path"":""qa/BACKEND_DETERMINISM.json""}","two isolated clean builds plus schema, referential, CSV, XLSX, manifest, preview, and byte replay",2026-08-21T13:53:00+02:00
r014.backend.record,1.0.0,ttp.r014.qa.backend-roundtrip,qa_event,active,ttp.r014.yaintt,ttp.r014.yaintt,,und,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,backend_deterministic_roundtrip,pass,"[""ttp.r014.artifact.qa-bundle""]","{""path"":""backend/MANIFEST.json""}","schema, referential, CSV, manifest, and second-run byte replay",2026-08-21T13:53:00+02:00
r014.backend.record,1.0.0,ttp.r014.qa.boundary1-accessibility,qa_event,active,ttp.r014.yaintt,ttp.r014.yaintt,,und,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,accessibility,pass_with_untagged_pdf_caveat,"[""ttp.r014.artifact.boundary1-pdf""]","{""path"":""qa/BOUNDARY1_VISUAL.json""}",bounded evidence replay,2026-08-21T13:53:00+02:00
