schema,schema_version,record_id,entity_class,status,work_id,resource_id,edition_id,locale,created_at,responsible_workflow,supersedes,component_paths,license,license_url,attribution,obligations,rights_status,change_notice,non_endorsement,evidence
r014.backend.record,1.0.0,rights.yaintt.id-id.derivative,rights,active,ttp.r014.yaintt,ttp.r014.yaintt,,id-ID,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,"[""qa/frozen-boundaries/boundary3/yaintt-id.tex"",""output/YAINTT_ID_BOUNDARY1.pdf"",""output/YAINTT_ID_BOUNDARY2.pdf"",""output/YAINTT_ID_BOUNDARY3.pdf""]",CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,"[""Jonathan A. Poritz"",""Wissam Raji"",""Bahasa Indonesia translation prepared for Floris""]","[""attribution"",""indicate_changes"",""share_alike"",""no_additional_restrictions"",""preserve_component_attribution""]",admissible_with_exact_notice,Bahasa Indonesia translation plus documented technical compatibility and layout changes.,"Not an official publication of Poritz, Raji, or Colorado State University Pueblo and does not imply their endorsement.","{""lines"":[336,341],""path"":""qa/frozen-boundaries/boundary3/yaintt-id.tex""}"
r014.backend.record,1.0.0,rights.yaintt.id-id.derivative.boundary10,rights,active,ttp.r014.yaintt,ttp.r014.yaintt,,id-ID,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,"[""qa/frozen-boundaries/boundary10/yaintt-id.tex"",""output/YAINTT_ID_BOUNDARY10.pdf""]",CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,"[""Jonathan A. Poritz"",""Wissam Raji"",""Bahasa Indonesia translation prepared for Floris""]","[""attribution"",""indicate_changes"",""share_alike"",""no_additional_restrictions"",""preserve_component_attribution""]",admissible_with_exact_notice,Bahasa Indonesia translation plus documented technical compatibility and layout changes.,"Not an official publication of Poritz, Raji, or Colorado State University Pueblo and does not imply their endorsement.","{""lines"":[336,341],""path"":""qa/frozen-boundaries/boundary10/yaintt-id.tex""}"
r014.backend.record,1.0.0,rights.yaintt.id-id.derivative.boundary11,rights,active,ttp.r014.yaintt,ttp.r014.yaintt,,id-ID,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,"[""qa/frozen-boundaries/boundary11/yaintt-id.tex"",""output/YAINTT_ID_BOUNDARY11.pdf""]",CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,"[""Jonathan A. Poritz"",""Wissam Raji"",""Bahasa Indonesia translation prepared for Floris""]","[""attribution"",""indicate_changes"",""share_alike"",""no_additional_restrictions"",""preserve_component_attribution""]",admissible_with_exact_notice,Bahasa Indonesia translation plus documented technical compatibility and layout changes.,"Not an official publication of Poritz, Raji, or Colorado State University Pueblo and does not imply their endorsement.","{""lines"":[336,341],""path"":""qa/frozen-boundaries/boundary11/yaintt-id.tex""}"
r014.backend.record,1.0.0,rights.yaintt.id-id.derivative.boundary28-r2,rights,active,ttp.r014.yaintt,ttp.r014.yaintt,ttp.r014.edition.id-id.boundary28-r2,id-ID,2026-08-22T03:06:00+02:00,codex.r014.id-ID,,"[""qa/review-candidates/boundary28-r2/yaintt-id.tex"",""qa/review-candidates/boundary28-r2/ADVERSE_LEDGER.md"",""qa/review-candidates/boundary28-r2/TERMINOLOGY.md""]",CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,Jonathan A. Poritz; based on work by Wissam Raji; Indonesian derivative prepared for Floris's interlanguage curriculum project.,"[""attribution"",""indicate changes"",""share alike"",""preserve component-specific notices""]",cleared_derivative_text_and_metadata; unresolved by-sa.eps remains excluded,"Complete Bahasa Indonesia translation with documented source corrections, modular indexing, localized metadata, and layout reflow.",No endorsement by the upstream author is asserted.,"{""path"":""qa/review-candidates/boundary28-r2/ADVERSE_LEDGER.md"",""sha256"":""dd4de4ca603dc1bf67b635bce3199fcdbf6bcacbc3b8d3736350b5a825a00f57"",""target_path"":""qa/review-candidates/boundary28-r2/yaintt-id.tex"",""target_sha256"":""b1dd2926dc8bfdb84c6a3b4605490a8d96b14c44d89653867160d701fa0f17db""}"
r014.backend.record,1.0.0,rights.yaintt.id-id.derivative.boundary4,rights,active,ttp.r014.yaintt,ttp.r014.yaintt,,id-ID,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,"[""qa/frozen-boundaries/boundary4/yaintt-id.tex"",""output/YAINTT_ID_BOUNDARY4.pdf""]",CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,"[""Jonathan A. Poritz"",""Wissam Raji"",""Bahasa Indonesia translation prepared for Floris""]","[""attribution"",""indicate_changes"",""share_alike"",""no_additional_restrictions"",""preserve_component_attribution""]",admissible_with_exact_notice,Bahasa Indonesia translation plus documented technical compatibility and layout changes.,"Not an official publication of Poritz, Raji, or Colorado State University Pueblo and does not imply their endorsement.","{""lines"":[336,341],""path"":""qa/frozen-boundaries/boundary4/yaintt-id.tex""}"
r014.backend.record,1.0.0,rights.yaintt.id-id.derivative.boundary5,rights,active,ttp.r014.yaintt,ttp.r014.yaintt,,id-ID,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,"[""qa/frozen-boundaries/boundary5/yaintt-id.tex"",""output/YAINTT_ID_BOUNDARY5.pdf""]",CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,"[""Jonathan A. Poritz"",""Wissam Raji"",""Bahasa Indonesia translation prepared for Floris""]","[""attribution"",""indicate_changes"",""share_alike"",""no_additional_restrictions"",""preserve_component_attribution""]",admissible_with_exact_notice,Bahasa Indonesia translation plus documented technical compatibility and layout changes.,"Not an official publication of Poritz, Raji, or Colorado State University Pueblo and does not imply their endorsement.","{""lines"":[336,341],""path"":""qa/frozen-boundaries/boundary5/yaintt-id.tex""}"
r014.backend.record,1.0.0,rights.yaintt.id-id.derivative.boundary6,rights,active,ttp.r014.yaintt,ttp.r014.yaintt,,id-ID,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,"[""qa/frozen-boundaries/boundary6/yaintt-id.tex"",""output/YAINTT_ID_BOUNDARY6.pdf""]",CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,"[""Jonathan A. Poritz"",""Wissam Raji"",""Bahasa Indonesia translation prepared for Floris""]","[""attribution"",""indicate_changes"",""share_alike"",""no_additional_restrictions"",""preserve_component_attribution""]",admissible_with_exact_notice,Bahasa Indonesia translation plus documented technical compatibility and layout changes.,"Not an official publication of Poritz, Raji, or Colorado State University Pueblo and does not imply their endorsement.","{""lines"":[336,341],""path"":""qa/frozen-boundaries/boundary6/yaintt-id.tex""}"
r014.backend.record,1.0.0,rights.yaintt.id-id.derivative.boundary7,rights,active,ttp.r014.yaintt,ttp.r014.yaintt,,id-ID,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,"[""qa/frozen-boundaries/boundary7/yaintt-id.tex"",""output/YAINTT_ID_BOUNDARY7.pdf""]",CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,"[""Jonathan A. Poritz"",""Wissam Raji"",""Bahasa Indonesia translation prepared for Floris""]","[""attribution"",""indicate_changes"",""share_alike"",""no_additional_restrictions"",""preserve_component_attribution""]",admissible_with_exact_notice,Bahasa Indonesia translation plus documented technical compatibility and layout changes.,"Not an official publication of Poritz, Raji, or Colorado State University Pueblo and does not imply their endorsement.","{""lines"":[336,341],""path"":""qa/frozen-boundaries/boundary7/yaintt-id.tex""}"
r014.backend.record,1.0.0,rights.yaintt.id-id.derivative.boundary8,rights,active,ttp.r014.yaintt,ttp.r014.yaintt,,id-ID,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,"[""qa/frozen-boundaries/boundary8/yaintt-id.tex"",""output/YAINTT_ID_BOUNDARY8.pdf""]",CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,"[""Jonathan A. Poritz"",""Wissam Raji"",""Bahasa Indonesia translation prepared for Floris""]","[""attribution"",""indicate_changes"",""share_alike"",""no_additional_restrictions"",""preserve_component_attribution""]",admissible_with_exact_notice,Bahasa Indonesia translation plus documented technical compatibility and layout changes.,"Not an official publication of Poritz, Raji, or Colorado State University Pueblo and does not imply their endorsement.","{""lines"":[336,341],""path"":""qa/frozen-boundaries/boundary8/yaintt-id.tex""}"
r014.backend.record,1.0.0,rights.yaintt.id-id.derivative.boundary9,rights,active,ttp.r014.yaintt,ttp.r014.yaintt,,id-ID,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,"[""qa/frozen-boundaries/boundary9/yaintt-id.tex"",""output/YAINTT_ID_BOUNDARY9.pdf""]",CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,"[""Jonathan A. Poritz"",""Wissam Raji"",""Bahasa Indonesia translation prepared for Floris""]","[""attribution"",""indicate_changes"",""share_alike"",""no_additional_restrictions"",""preserve_component_attribution""]",admissible_with_exact_notice,Bahasa Indonesia translation plus documented technical compatibility and layout changes.,"Not an official publication of Poritz, Raji, or Colorado State University Pueblo and does not imply their endorsement.","{""lines"":[336,341],""path"":""qa/frozen-boundaries/boundary9/yaintt-id.tex""}"
