schema,schema_version,record_id,entity_class,status,work_id,resource_id,edition_id,locale,created_at,responsible_workflow,supersedes,correction_type,authority_locator,source_text,target_text,rationale,evidence,upstream_report_disposition,affected_unit_ids,report_status
r014.backend.record,1.0.0,ttp.r014.correction.0001,correction,active,ttp.r014.yaintt,ttp.r014.yaintt,,mul,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,build_control,"{""end_line"":131,""path"":""authority/downloads/yaintt.tex"",""start_line"":131}",%\def\suppressallIndex{},%\def\suppressIndex{},Make the documented switch match the back-matter test.,"{""adverse_ledger"":{""id"":""R014-ADV-0004"",""path"":""backend/evidence/ADVERSE_LEDGER.md"",""sha256"":""bad63981382d3a2d8a6561e1691992aef3248f6d3c91886ed3601bc4ee20be45""},""authority_sha256"":""d2967870a0d43de60c590a2bb40cee6915e7b6d68a0dd3ad574f64c7b6430829""}",candidate_for_single_final_upstream_report,"[""ttp.r014.unit.backmatter.index""]",not_submitted
r014.backend.record,1.0.0,ttp.r014.correction.0002,correction,active,ttp.r014.yaintt,ttp.r014.yaintt,,mul,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,mathematics,"{""end_line"":515,""path"":""authority/downloads/yaintt.tex"",""start_line"":515}",(n+1).n^n,(n+1)\cdot n^n,"A period is punctuation, not a multiplication operator.","{""adverse_ledger"":{""id"":""R014-ADV-0005"",""path"":""backend/evidence/ADVERSE_LEDGER.md"",""sha256"":""bad63981382d3a2d8a6561e1691992aef3248f6d3c91886ed3601bc4ee20be45""},""authority_sha256"":""d2967870a0d43de60c590a2bb40cee6915e7b6d68a0dd3ad574f64c7b6430829""}",candidate_for_single_final_upstream_report,"[""ttp.r014.unit.eg.inductionv1b""]",not_submitted
r014.backend.record,1.0.0,ttp.r014.correction.0003,correction,active,ttp.r014.yaintt,ttp.r014.yaintt,,mul,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,typography,"{""end_line"":492,""path"":""authority/downloads/yaintt.tex"",""start_line"":492}",the the statement,pernyataan tersebut,Remove the duplicated word while translating.,"{""adverse_ledger"":{""id"":""R014-ADV-0006"",""path"":""backend/evidence/ADVERSE_LEDGER.md"",""sha256"":""bad63981382d3a2d8a6561e1691992aef3248f6d3c91886ed3601bc4ee20be45""},""authority_sha256"":""d2967870a0d43de60c590a2bb40cee6915e7b6d68a0dd3ad574f64c7b6430829""}",candidate_for_single_final_upstream_report,"[""ttp.r014.unit.eg.inductionv1a""]",not_submitted
r014.backend.record,1.0.0,ttp.r014.correction.0004,correction,active,ttp.r014.yaintt,ttp.r014.yaintt,,mul,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,locator,"{""end_line"":377,""path"":""authority/downloads/yaintt.tex"",""start_line"":375}",http://www.poritz.net/jonathan/share/yaintt,https://www.poritz.net/jonathan/share/yaintt,Use the working HTTPS authority locators.,"{""adverse_ledger"":{""id"":""R014-ADV-0007"",""path"":""backend/evidence/ADVERSE_LEDGER.md"",""sha256"":""bad63981382d3a2d8a6561e1691992aef3248f6d3c91886ed3601bc4ee20be45""},""authority_sha256"":""d2967870a0d43de60c590a2bb40cee6915e7b6d68a0dd3ad574f64c7b6430829""}",not_applicable_derivative_locator_update,"[""ttp.r014.unit.frontmatter.release-notes""]",not_submitted
r014.backend.record,1.0.0,ttp.r014.correction.0005,correction,active,ttp.r014.yaintt,ttp.r014.yaintt,,mul,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,layout,"{""end_line"":265,""path"":""authority/downloads/yaintt.tex"",""start_line"":265}","width=15cm,clip","width=.85\textwidth,clip",Fit the longer Indonesian title without altering the cover image.,"{""adverse_ledger"":{""id"":""R014-ADV-0009"",""path"":""backend/evidence/ADVERSE_LEDGER.md"",""sha256"":""bad63981382d3a2d8a6561e1691992aef3248f6d3c91886ed3601bc4ee20be45""},""authority_sha256"":""d2967870a0d43de60c590a2bb40cee6915e7b6d68a0dd3ad574f64c7b6430829""}",not_applicable_derivative_layout,"[""ttp.r014.unit.frontmatter.title-page.figure.cover""]",not_submitted
r014.backend.record,1.0.0,ttp.r014.correction.0006,correction,active,ttp.r014.yaintt,ttp.r014.yaintt,,mul,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,layout,"{""end_line"":569,""path"":""authority/downloads/yaintt.tex"",""start_line"":568}",Use mathematical induction to prove that,Gunakan induksi matematika untuk membuktikan bahwa\newline,Move a long formula to the next line to prevent reader-visible overflow.,"{""adverse_ledger"":{""id"":""R014-ADV-0009"",""path"":""backend/evidence/ADVERSE_LEDGER.md"",""sha256"":""bad63981382d3a2d8a6561e1691992aef3248f6d3c91886ed3601bc4ee20be45""},""authority_sha256"":""d2967870a0d43de60c590a2bb40cee6915e7b6d68a0dd3ad574f64c7b6430829""}",not_applicable_derivative_layout,"[""ttp.r014.unit.sec.wopami.exercise.03""]",not_submitted
r014.backend.record,1.0.0,ttp.r014.correction.0007,correction,active,ttp.r014.yaintt,ttp.r014.yaintt,,mul,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,boundary_reader,"{""end_line"":345,""path"":""authority/downloads/yaintt.tex"",""start_line"":335}",Chapter~\ref{chap:Crypto},Bab~4 serta \S\S~5.5 dan 5.6,Resolve forward references numerically only in the bounded reader; preserve refs in the full branch.,"{""adverse_ledger"":{""id"":""R014-ADV-0010"",""path"":""backend/evidence/ADVERSE_LEDGER.md"",""sha256"":""bad63981382d3a2d8a6561e1691992aef3248f6d3c91886ed3601bc4ee20be45""},""authority_sha256"":""d2967870a0d43de60c590a2bb40cee6915e7b6d68a0dd3ad574f64c7b6430829""}",not_applicable_boundary_reader,"[""ttp.r014.unit.frontmatter.release-notes""]",not_submitted
r014.backend.record,1.0.0,ttp.r014.correction.0008,correction,active,ttp.r014.yaintt,ttp.r014.yaintt,,mul,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,component_rights,"{""end_line"":304,""path"":""authority/downloads/yaintt.tex"",""start_line"":304}","\includegraphics[height=.7cm,clip]{by-sa.eps}",textual CC BY-SA 4.0 notice; badge omitted,The badge EPS lacks component-specific rights evidence and embeds Adobe procsets.,"{""adverse_ledger"":{""id"":""R014-ADV-0002"",""path"":""backend/evidence/ADVERSE_LEDGER.md"",""sha256"":""bad63981382d3a2d8a6561e1691992aef3248f6d3c91886ed3601bc4ee20be45""},""authority_sha256"":""d2967870a0d43de60c590a2bb40cee6915e7b6d68a0dd3ad574f64c7b6430829""}",not_applicable_component_replacement,"[""ttp.r014.unit.frontmatter.preface.figure.license-badge""]",not_submitted
r014.backend.record,1.0.0,ttp.r014.correction.0009,correction,active,ttp.r014.yaintt,ttp.r014.yaintt,,mul,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,typography,"{""end_line"":287,""path"":""authority/downloads/yaintt.tex"",""start_line"":287}",University --Pueblo,"University, Pueblo",Restore missing spacing/punctuation in the institution name.,"{""adverse_ledger"":{""id"":""R014-ADV-0011"",""path"":""backend/evidence/ADVERSE_LEDGER.md"",""sha256"":""bad63981382d3a2d8a6561e1691992aef3248f6d3c91886ed3601bc4ee20be45""},""authority_sha256"":""d2967870a0d43de60c590a2bb40cee6915e7b6d68a0dd3ad574f64c7b6430829""}",candidate_for_single_final_upstream_report,"[""ttp.r014.unit.frontmatter.title-page""]",not_submitted
r014.backend.record,1.0.0,ttp.r014.correction.0010,correction,active,ttp.r014.yaintt,ttp.r014.yaintt,,mul,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,build_compatibility,"{""end_line"":192,""path"":""authority/downloads/yaintt.tex"",""start_line"":190}",\let\@@pmod\pmod,\NewCommandCopy{\@@pmod}{\pmod} with a legacy fallback,Prevent recursion of the robust pmod command under the 2025 LaTeX kernel.,"{""adverse_ledger"":{""id"":""R014-ADV-0012"",""path"":""backend/evidence/ADVERSE_LEDGER.md"",""sha256"":""bad63981382d3a2d8a6561e1691992aef3248f6d3c91886ed3601bc4ee20be45""},""authority_sha256"":""d2967870a0d43de60c590a2bb40cee6915e7b6d68a0dd3ad574f64c7b6430829""}",candidate_for_single_final_upstream_report,"[""ttp.r014.unit.book""]",not_submitted
